episode,"[0, 2154, 2430, 2665, 3142, 3375, 4310, 4565, 5129, 7072, 7112, 7514, 7812, 7954, 8216, 9320, 0, 1662, 2004, 3350, 4209, 4221, 4600, 4648, 4666, 6126, 7064, 7418, 9307, 9448, 9558, 0, 2266, 2486, 2811, 3440, 3493, 3779, 4563, 4924, 6489, 6507, 6536, 6568, 7649, 9804, 9834, 0, 1834, 2747, 3306, 3411, 3998, 5644, 6354, 6483, 8846, 8849, 9332, 9351, 9869, 9880, 9886, 9921, 0, 1996, 2380, 2386, 3055, 3319, 3476, 3702, 5197, 5427, 6405, 6407, 7621, 7683, 7804, 8727, 8934, 9804, 0, 2376, 2522, 2647, 2670, 2671, 2688, 3177, 3241, 3276, 3729, 3730, 3929, 4519, 4956, 5900, 6325, 6593, 7903, 8036, 8309, 9000, 0, 2552, 2606, 3196, 3495, 3661, 3745, 3978, 5189, 6876, 6896, 7363, 7381, 8987, 9928, 0, 2231, 2240, 2989, 3099, 3451, 3452, 5150, 5572, 5769, 6671, 6703, 8184, 8210, 9150, 9423, 9708, 9868, 9881, 0, 2247, 2851, 2856, 3078, 3464, 4086, 5553, 6594, 6627, 7280, 7353, 7740, 8382, 0, 2443, 2479, 2722, 3395, 3525, 4108, 5318, 5565, 6516, 6658, 6673, 6760, 6817, 7766, 8436, 9065, 9095, 9178, 9183, 9202]",
learning_rate,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",
best_value,"[-200.0, -196.0, -170.0, -166.0, -160.0, -157.0, -152.0, -150.0, -133.0, -124.0, -120.0, -119.0, -118.0, -115.0, -114.0, -113.0, -200.0, -184.0, -163.0, -160.0, -159.0, -158.0, -157.0, -154.0, -152.0, -132.0, -128.0, -115.0, -114.0, -112.0, -90.0, -200.0, -174.0, -171.0, -162.0, -158.0, -157.0, -156.0, -154.0, -150.0, -149.0, -148.0, -135.0, -134.0, -115.0, -114.0, -110.0, -200.0, -168.0, -165.0, -161.0, -158.0, -152.0, -126.0, -125.0, -122.0, -119.0, -118.0, -116.0, -114.0, -113.0, -111.0, -110.0, -109.0, -200.0, -182.0, -175.0, -165.0, -163.0, -160.0, -158.0, -153.0, -152.0, -149.0, -139.0, -124.0, -120.0, -119.0, -116.0, -115.0, -112.0, -110.0, -200.0, -199.0, -197.0, -188.0, -171.0, -169.0, -168.0, -166.0, -164.0, -161.0, -160.0, -158.0, -155.0, -153.0, -143.0, -139.0, -125.0, -119.0, -118.0, -117.0, -114.0, -112.0, -200.0, -171.0, -166.0, -163.0, -162.0, -159.0, -157.0, -146.0, -128.0, -125.0, -124.0, -123.0, -119.0, -115.0, -113.0, -200.0, -172.0, -168.0, -163.0, -159.0, -158.0, -153.0, -152.0, -129.0, -127.0, -124.0, -123.0, -120.0, -115.0, -114.0, -113.0, -112.0, -94.0, -93.0, -200.0, -167.0, -166.0, -164.0, -160.0, -156.0, -150.0, -148.0, -127.0, -121.0, -120.0, -117.0, -115.0, -113.0, -200.0, -193.0, -164.0, -162.0, -157.0, -155.0, -152.0, -149.0, -148.0, -147.0, -144.0, -127.0, -125.0, -124.0, -119.0, -116.0, -115.0, -114.0, -112.0, -111.0, -109.0]",
,,
,,
,,
,best reward,93
,learning rate,0.2
,episode,9558
