,episode,learning_rate,best_value,discount,epsilondecay
113,0,0.4,-200.0,0.8,0.0018
114,0,0.4,-200.0,0.8,0.0036
115,0,0.4,-200.0,0.9,0.0009
116,0,0.4,-200.0,0.9,0.0018
117,0,0.4,-200.0,0.9,0.0036
118,0,0.4,-200.0,1.0,0.0009
119,0,0.4,-200.0,1.0,0.0018
120,0,0.4,-200.0,1.0,0.0036
121,0,0.5,-200.0,0.1,0.0009
122,0,0.5,-200.0,0.1,0.0018
123,0,0.5,-200.0,0.1,0.0036
124,0,0.5,-200.0,0.2,0.0009
125,0,0.5,-200.0,0.2,0.0018
126,0,0.5,-200.0,0.2,0.0036
127,0,0.5,-200.0,0.30000000000000004,0.0009
128,0,0.5,-200.0,0.30000000000000004,0.0018
129,0,0.5,-200.0,0.30000000000000004,0.0036
130,0,0.5,-200.0,0.4,0.0009
131,0,0.5,-200.0,0.4,0.0018
132,0,0.5,-200.0,0.4,0.0036
133,0,0.5,-200.0,0.5,0.0009
134,0,0.5,-200.0,0.5,0.0018
135,0,0.5,-200.0,0.5,0.0036
136,0,0.5,-200.0,0.6,0.0009
137,0,0.5,-200.0,0.6,0.0018
138,0,0.5,-200.0,0.6,0.0036
139,0,0.5,-200.0,0.7000000000000001,0.0009
140,0,0.5,-200.0,0.7000000000000001,0.0018
141,0,0.5,-200.0,0.7000000000000001,0.0036
142,0,0.5,-200.0,0.8,0.0009
143,0,0.5,-200.0,0.8,0.0018
144,0,0.5,-200.0,0.8,0.0036
145,0,0.5,-200.0,0.9,0.0009
146,0,0.5,-200.0,0.9,0.0018
147,0,0.5,-200.0,0.9,0.0036
148,0,0.5,-200.0,1.0,0.0009
149,0,0.5,-200.0,1.0,0.0018
150,0,0.5,-200.0,1.0,0.0036
151,0,0.6,-200.0,0.1,0.0009
152,0,0.6,-200.0,0.1,0.0018
153,0,0.6,-200.0,0.1,0.0036
154,0,0.6,-200.0,0.2,0.0009
155,0,0.6,-200.0,0.2,0.0018
156,0,0.6,-200.0,0.2,0.0036
157,0,0.6,-200.0,0.30000000000000004,0.0009
158,0,0.6,-200.0,0.30000000000000004,0.0018
159,0,0.6,-200.0,0.30000000000000004,0.0036
160,0,0.6,-200.0,0.4,0.0009
161,0,0.6,-200.0,0.4,0.0018
162,0,0.6,-200.0,0.4,0.0036
163,0,0.6,-200.0,0.5,0.0009
164,0,0.6,-200.0,0.5,0.0018
165,0,0.6,-200.0,0.5,0.0036
166,0,0.6,-200.0,0.6,0.0009
167,0,0.6,-200.0,0.6,0.0018
168,0,0.6,-200.0,0.6,0.0036
169,0,0.6,-200.0,0.7000000000000001,0.0009
170,0,0.6,-200.0,0.7000000000000001,0.0018
171,0,0.6,-200.0,0.7000000000000001,0.0036
172,0,0.6,-200.0,0.8,0.0009
173,0,0.6,-200.0,0.8,0.0018
174,0,0.6,-200.0,0.8,0.0036
175,0,0.6,-200.0,0.9,0.0009
176,0,0.6,-200.0,0.9,0.0018
177,0,0.6,-200.0,0.9,0.0036
178,0,0.6,-200.0,1.0,0.0009
